1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	3
32	5
33	6
34	3
35	2
36	8
37	6
38	2
39	1
40	8
41	4
42	3
43	4
44	5
45	4
46	2
47	3
48	2
49	2
50	6
51	2
52	2
53	5
54	5
55	4
56	6
57	7
58	2
59	1
60	1
61	6
62	2
63	2
64	2
65	9
66	9
67	2
68	0
69	5
70	4
71	3
72	4
73	4
74	1
75	5
76	4
77	3
78	6
79	5
80	6
81	5
82	1
83	4
84	3
85	2
86	3
87	1
88	4
89	8
90	2
91	3
92	1
93	4
94	2
95	5
96	2
97	1
98	2
99	4
100	7
101	1
102	0
103	2
104	2
105	5
106	1
107	0
108	3
109	4
110	3
111	4
112	2
113	5
114	1
115	2
116	4
117	1
118	2
119	2
120	4
121	1
122	3
123	1
124	5
125	4
126	5
127	0
128	3
129	4
130	2
131	0
132	2
133	2
134	0
135	1
136	2
137	6
138	4
139	2
140	5
141	3
142	0
143	2
144	2
145	4
146	1
147	3
148	6
149	3
150	2
151	1
152	2
153	2
154	1
155	2
156	2
157	3
158	1
159	2
160	2
161	2
162	4
163	10
164	1
165	2
166	4
167	0
168	1
169	3
170	1
171	3
172	1
173	3
174	4
175	4
176	3
177	3
178	2
179	4
180	3
181	3
182	3
183	1
184	5
185	0
186	2
187	4
188	2
189	1
190	5
191	1
192	2
193	5
194	2
195	7
196	10
197	4
198	9
199	9
200	17
201	13
202	12
203	11
204	13
205	13
206	10
207	11
208	14
209	12
210	7
211	13
212	11
213	13
214	13
215	16
216	13
217	15
218	10
219	12
220	16
221	17
222	10
223	17
224	2
225	19
226	16
227	9
228	23
229	22
230	20
231	17
232	15
233	15
234	17
235	12
236	10
237	19
238	10
239	17
240	14
241	13
242	10
243	13
244	8
245	16
246	18
247	14
248	14
249	11
250	18
251	13
252	8
253	15
254	21
255	15
256	12
257	23
258	14
259	12
260	11
261	18
262	18
263	13
264	8
265	10
266	12
267	10
268	16
269	14
270	7
271	18
272	17
273	10
274	14
275	18
276	14
277	13
278	14
279	10
280	13
281	16
